ranking,sport,Boulders
319,10 743,9 810
320,10 743,9 809
321,10 742,9 804
322,10 742,9 803
323,10 738,9 803
324,10 737,9 803
325,10 735,9 803
326,10 735,9 803
327,10 734,9 803
328,10 734,9 803
329,10 730,9 800
330,10 730,9 800
331,10 728,9 773
332,10 725,9 770
333,10 725,9 762
334,10 720,9 758
335,10 715,9 756
336,10 715,9 753
337,10 715,9 753
338,10 712,9 753
339,10 710,9 750
340,10 710,9 750
341,10 706,9 750
342,10 705,9 750
343,10 703,9 720
344,10 702,9 720
345,10 701,9 720
346,10 701,9 720
347,10 700,9 717
348,10 700,9 711
349,10 697,9 710
350,10 695,9 709
351,10 695,9 708
352,10 692,9 708
353,10 689,9 704
354,10 689,9 703
355,10 680,9 703
356,10 680,9 702
357,10 680,9 700
358,10 680,9 700
359,10 677,9 700
360,10 675,9 700
361,10 675,9 700
362,10 670,9 700
363,10 669,9 698
364,10 665,9 694
365,10 665,9 678
366,10 664,9 673
367,10 663,9 670
368,10 662,9 670
369,10 660,9 668
370,10 656,9 665
371,10 655,9 662
372,10 652,9 661
373,10 650,9 659
374,10 650,9 659
375,10 650,9 657
376,10 650,9 656
377,10 650,9 656
378,10 649,9 653
379,10 648,9 653
380,10 647,9 653
381,10 644,9 653
382,10 642,9 653
383,10 639,9 652
384,10 639,9 652
385,10 636,9 650
386,10 635,9 650
387,10 635,9 650
388,10 632,9 650
389,10 630,9 650
390,10 628,9 636
391,10 625,9 625
392,10 619,9 625
393,10 615,9 624
394,10 606,9 620
395,10 605,9 619
396,10 605,9 612
397,10 605,9 612
398,10 602,9 609
399,10 601,9 608
400,10 600,9 606
401,10 596,9 606
402,10 595,9 605
403,10 593,9 605
404,10 590,9 605
405,10 590,9 603
406,10 590,9 603
407,10 590,9 600
408,10 588,9 600
409,10 587,9 600
410,10 585,9 600
411,10 583,9 600
412,10 583,9 600
413,10 582,9 600
414,10 576,9 600
415,10 575,9 595
416,10 575,9 593
417,10 575,9 576
418,10 574,9 573
419,10 570,9 573
420,10 568,9 570
